2026-03-13 13:47:49.816 | INFO     | request_id - build_meta_knowledge | __main__:build:20 - 开始执行构建元知识脚本
2026-03-15 17:42:00.253 | INFO     | request_id - a3132f2e-b5cb-4b66-91be-7be472d52e73 | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-15 17:57:27.806 | INFO     | request_id - 65273aac-b5ef-4199-a1f7-af985cbfb00d | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 17:57:27.895 | INFO     | request_id - 0e8589c6-dcbd-451e-a00e-c2263dc8df30 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 17:57:48.811 | INFO     | request_id - 3449f525-7d74-40e3-91e7-5b1947106e37 | app.service.meta_knowledge_service:build:191 - 加载配置文件
2026-03-15 17:57:48.855 | INFO     | request_id - 6e453768-263b-4c00-a71e-6385a9ccc511 | app.service.meta_knowledge_service:build:196 - 保存表信息到meta数据库
2026-03-15 17:58:17.320 | INFO     | request_id - c8fb5c44-bb5e-4e5e-9e18-5681308e146b | app.service.meta_knowledge_service:build:200 - 为字段信息创建向量索引
2026-03-15 17:58:17.668 | INFO     | request_id - 4717ae71-808a-4168-a485-cab2fd2380b7 | app.service.meta_knowledge_service:build:204 - 为字段值信息创建全文索引
2026-03-16 15:06:35.658 | INFO     | request_id - d593abc8-3c36-47b6-b83a-caf748978975 | app.service.meta_knowledge_service:build:280 - 加载配置文件
2026-03-16 15:06:36.125 | INFO     | request_id - bb41e7f0-db42-429a-ac6f-e2c2cfa4b352 | app.service.meta_knowledge_service:build:285 - 保存表信息到meta数据库
2026-03-16 15:07:28.886 | INFO     | request_id - 4b8098c3-5486-4a4b-963c-3c8a40d157c9 | app.service.meta_knowledge_service:build:289 - 为字段信息创建向量索引
2026-03-16 15:07:29.559 | INFO     | request_id - dc7904ae-b320-43d9-a2ab-790a66cd5e59 | app.service.meta_knowledge_service:build:293 - 为字段值信息创建全文索引
2026-03-16 15:07:29.679 | INFO     | request_id - f5570c40-6fc8-432c-af47-f092dc8ae51b | app.service.meta_knowledge_service:build:299 - 保存指标信息到meta数据库
2026-03-16 15:07:39.428 | INFO     | request_id - 600b584d-5971-4d39-b232-f539ea6ab911 | app.service.meta_knowledge_service:build:303 - 为指标信息创建向量索引
2026-03-16 15:07:39.428 | INFO     | request_id - 17f094d4-db02-4aca-a5ce-78db9bac2b26 | app.service.meta_knowledge_service:build:305 - 元数据知识库构建完成！
2026-03-16 15:43:33.829 | INFO     | request_id - 989797a2-8eca-481f-a93c-ab409b7f7b12 | app.service.meta_knowledge_service:build:280 - 加载配置文件
2026-03-16 15:43:34.009 | INFO     | request_id - 75831472-d37b-4768-9f04-4397b01aaa4e | app.service.meta_knowledge_service:build:285 - 保存表信息到meta数据库
2026-03-16 15:44:15.148 | INFO     | request_id - ae8cf8bb-4513-4d86-9c8c-d6a0827923d2 | app.service.meta_knowledge_service:build:289 - 为字段信息创建向量索引
2026-03-16 15:44:15.392 | INFO     | request_id - 5c876eb1-8af8-4aa6-a8f5-633f5ad9ff55 | app.service.meta_knowledge_service:build:293 - 为字段值信息创建全文索引
2026-03-16 15:44:15.423 | INFO     | request_id - 646f3d79-184e-4b8a-904f-d50f742756fa | app.service.meta_knowledge_service:build:299 - 保存指标信息到meta数据库
2026-03-16 15:44:20.935 | INFO     | request_id - 18c26a0c-0011-41fc-8729-6300d2629fdf | app.service.meta_knowledge_service:build:303 - 为指标信息创建向量索引
2026-03-16 15:44:20.936 | INFO     | request_id - 347a9ee9-7a07-4f82-a294-ed05d89a1b52 | app.service.meta_knowledge_service:build:305 - 元数据知识库构建完成！
